ops_subtype@MetaData,station_id@MetaData,ops_obstype@MetaData,vesselinfo@VesselInfo,newobstype@NewObsType,anemometer_height@AnemometerHeight
int,string,int,string,int,float
_,_,_,_,_,_
10200,3EEN,_,JPBC S  ,_,31.1
10200,3EER6,_,JPRRVS  ,_,35.6
10200,3EES2,_,JPCSVS  ,_,40.0
10200,3EEW3,_,NZRR S  ,_,36.4
10200,3EEW5,_,JPBC S  ,_,23.0
10200,3EEX6,_,JPGCVS  ,_,21.5
10200,3EFD9,_,USCS S  ,_,37.0
10200,3EFG7,_,JPBC S  ,_,34.0
10200,3EFH4,_,JPBC S  ,_,26.0
10200,3EFI,_,USCSSN  ,_,39.0
10200,3EGA2,_,JPBC S  ,_,26.0
10200,3EGB,_,JPBCVS  ,_,32.3
10200,3EGG4,_,JPBCVS  ,_,35.2
10200,3EGL5,_,USCSSN  ,_,43.0
10200,3EGN5,_,JPRR S  ,_,34.1
10200,3EGP2,_,JPBCVS  ,_,17.7
10200,3EGP4,_,JPBCVS  ,_,30.0
10200,3EGT5,_,KRBCVS  ,_,36.0
10200,3EGV6,_,JPGC S  ,_,38.0
10200,3EHD2,_,KRCS    ,_,43.7
10200,3EHO5,_,JPRR W  ,_,37.0
10200,3EHP4,_,JPRR S  ,_,34.2
10200,3EHT6,_,USCSUS  ,_,42.0
10200,3EHZ5,_,JPCSVS  ,_,46.0
10200,3EIB2,_,JPRRVS  ,_,34.6
10200,3EIC8,_,JPCSVS  ,_,46.4
10200,3EIF6,_,JPRRVS  ,_,34.5
10200,3EIF9,_,JPRR S  ,_,32.2
10200,3EIJ5,_,JPCSVS  ,_,47.0
10200,3EIJ9,_,JPLTVS  ,_,43.7
10200,3EIO4,_,JPRR S  ,_,22.2
10200,3EIZ7,_,USCSSN  ,_,42.0
10200,3EJB9,_,JPRR S  ,_,36.8
10200,3EJE9,_,JPLTVS  ,_,43.4
10200,3EJG3,_,USCSSN  ,_,33.0
10200,3EJG5,_,JPCS S  ,_,46.0
10200,3EJI2,_,JPBC S  ,_,45.0
10200,3EJK5,_,JPRR S  ,_,34.2
10200,3EJM9,_,USLTUS  ,_,31.0
10200,3EJO5,_,JPLTVS  ,_,40.0
10200,3EJS7,_,JPRRVS  ,_,24.6
10200,3EJW7,_,JPBCVS  ,_,34.0
10200,3EJY,_,JPBCVS  ,_,28.2
10200,3EKF8,_,JPBCVS  ,_,33.1
10200,3EKH3,_,JPGTVS  ,_,39.6
10200,3EKK2,_,JPCSVS  ,_,50.5
10200,3EKN6,_,JPLTVS  ,_,42.3
10200,3EKO8,_,AUBC    ,_,39.0
10200,3EKQ,_,JPRRVS  ,_,33.5
10200,3EKU3,_,USCS    ,_,-37.0
10200,3EKV8,_,JPLTVS  ,_,42.2
10200,3ELD7,_,JPBCVS  ,_,30.7
10200,3ELE3,_,JPBC S  ,_,-34.0
10200,3ELG6,_,JPBC S  ,_,34.8
10200,3ELG9,_,JPRRVS  ,_,44.0
10200,3ELH2,_,JPRRVS  ,_,35.9
10200,3ELI7,_,USCS    ,_,-37.0
10200,3ELP9,_,JPRRVS  ,_,33.9
10200,3ELR7,_,JPBCVS  ,_,34.0
10200,3ELS,_,JPBCVS  ,_,34.0
10200,3ELT9,_,JPRRVS  ,_,35.3
10200,3EMI4,_,JPBCVS  ,_,34.0
10200,3EMK6,_,USMISN  ,_,109.0
10200,3EMQ4,_,USCSSN  ,_,39.0
10200,3EMR6,_,NLBCSLE ,_,-34.0
10200,3EMR8,_,JPCSVS  ,_,46.5
10200,3EMS,_,JPCSVS  ,_,42.5
10200,3EMS8,_,JPLTVS  ,_,46.4
10200,3ENJ2,_,JPBCVS  ,_,-34.0
10200,3ENJ3,_,JPBCVS  ,_,43.2
10200,3ENO7,_,JPRR S  ,_,32.5
10200,3ENU5,_,USCSSN  ,_,49.0
10200,3ENU7,_,JPCSVS  ,_,42.9
10200,3ENV5,_,JPCSVS  ,_,43.2
10200,3ENY2,_,JPRRVS  ,_,39.8
10200,3EOA8,_,JPBCVS  ,_,27.0
10200,3EOD8,_,JPRR S  ,_,34.2
10200,3EOF8,_,JPCSVS  ,_,43.2
10200,3EOJ8,_,JPRRVS  ,_,34.2
10200,3EOJ9,_,JPBCVS  ,_,17.5
10200,3EOP8,_,JPGCVS  ,_,32.8
10200,3EOS4,_,JPCSVS  ,_,44.0
10200,3EOS7,_,ZYCS    ,_,-37.0
10200,3EOZ8,_,JPBCVS  ,_,36.3
10200,3EPB6,_,JPBCVS  ,_,20.8
10200,3EPC5,_,JPBCVS  ,_,34.4
10200,3EPD8,_,GBLT S  ,_,-38.0
10200,3EPL4,_,USPS    ,_,-45.0
10200,3EPU6,_,JPCSVS  ,_,46.0
10200,3EPY4,_,JPGTVS  ,_,24.0
10200,3EQF8,_,JPOTSG  ,_,36.6
10200,3EQK,_,JPBC S  ,_,34.0
10200,3EQK6,_,JPGTVS  ,_,50.1
10200,3EQN2,_,JPLTVS  ,_,31.6
10200,3ERG3,_,JPBC S  ,_,32.0
10200,3ERO6,_,USCS    ,_,-37.0
10200,3ERO7,_,JPRR S  ,_,35.0
10200,3ERP5,_,JPRRVS  ,_,27.7
10200,3ERT4,_,JPGTVS  ,_,36.8
10200,3ERT7,_,JPGTVS  ,_,43.0
10200,3ESC5,_,JPGC S  ,_,25.0
10200,3ESE7,_,JPLTVS  ,_,32.9
10200,3ESF9,_,JPCSVS  ,_,42.0
10200,3ESL5,_,JPBC S  ,_,31.9
10200,3EST6,_,JPLTVS  ,_,16.0
10200,3ETA7,_,USPSUS  ,_,50.0
10200,3ETA8,_,USPSSN  ,_,49.0
10200,3ETC2,_,JPRRVS  ,_,37.0
10200,3ETD4,_,JPLTVS  ,_,35.8
10200,3ETR9,_,JPRR S  ,_,28.1
10200,3EUC9,_,JPBCVS  ,_,45.6
10200,3EUD5,_,JPBCVS  ,_,25.0
10200,3EUE7,_,JPRRVS  ,_,30.5
10200,3EUI3,_,JPCSVS  ,_,50.6
10200,3EUQ8,_,JPCSVS  ,_,38.1
10200,3EUS,_,USPSUS  ,_,44.0
10200,3EUX6,_,JPGCVS  ,_,30.0
10200,3EUY8,_,JPBC S  ,_,-34.0
10200,3EUZ4,_,JPBCVS  ,_,30.2
10200,3EVE6,_,JPRRVS  ,_,34.6
10200,3EVF5,_,JPBCVS  ,_,32.7
10200,3EVL7,_,JPBCVS  ,_,34.3
10200,3EVM6,_,JPGC S  ,_,28.0
10200,3EVN9,_,JPBCVS  ,_,33.0
10200,3EVP8,_,JPLTVS  ,_,64.7
10200,3EVU,_,JPBCVS  ,_,31.0
10200,3EVV4,_,JPBCSG  ,_,33.5
10200,3EVW3,_,JPRR S  ,_,33.0
10200,3EWD6,_,JPBCVS  ,_,31.0
10200,3EWM8,_,JPBCVS  ,_,31.8
10200,3EWN,_,JPBCVS  ,_,31.2
10200,3EWO2,_,JPBC S  ,_,34.3
10200,3EWU4,_,JPBCVS  ,_,24.8
10200,3EXA5,_,JPGTVS  ,_,54.8
10200,3EXC3,_,JPBCVS  ,_,37.0
10200,3EXD2,_,JPGCVS  ,_,16.4
10200,3EXG9,_,JPRR S  ,_,49.0
10200,3EXI5,_,USCS    ,_,-37.0
10200,3EXN7,_,JPBC S  ,_,31.0
10200,3EXT8,_,USLT S  ,_,-38.0
10200,3EXU3,_,JPBCVS  ,_,34.0
10200,3EYC9,_,JPBCVS  ,_,39.5
10200,3EYG2,_,JPBCVS  ,_,39.7
10200,3EYJ5,_,USCS A  ,_,-37.0
10200,3EYJ8,_,JPBCVS  ,_,37.5
10200,3EZF5,_,JPBCVS  ,_,34.2
10200,3EZG6,_,JPRR    ,_,28.4
10200,3EZN,_,JPLTVS  ,_,-38.0
10200,3EZP7,_,JPBCVS  ,_,31.7
10200,3FAB2,_,JPBCVS  ,_,18.6
10200,3FAF9,_,JPBCVS  ,_,31.9
10200,3FAN3,_,JPBC S  ,_,45.0
10200,3FAQ,_,JPRRVS  ,_,36.0
10200,3FAQ9,_,JPGC S  ,_,25.0
10200,3FAT9,_,JPRRVS  ,_,32.5
10200,3FAV3,_,JPBCVS  ,_,18.4
10200,3FAV5,_,AULC S  ,_,39.0
10200,3FAX7,_,JPGC S  ,_,33.6
10200,3FAY6,_,JPBCVS  ,_,28.2
10200,3FBA,_,JPRRVS  ,_,38.3
10200,3FBC9,_,JPBCVS  ,_,30.6
10200,3FBE,_,JPLTVS  ,_,28.0
10200,3FBE5,_,JPBC S  ,_,35.0
10200,3FBG3,_,JPBC S  ,_,39.0
10200,3FBJ6,_,USLT S  ,_,-38.0
10200,3FBJ7,_,JPBC S  ,_,30.9
10200,3FBK8,_,JPBCVS  ,_,36.4
10200,3FBT6,_,JPRRVS  ,_,35.2
10200,3FBW,_,JPBCVS  ,_,29.6
10200,3FCB8,_,USCSSN  ,_,50.3
10200,3FCB9,_,USCS S  ,_,39.0
10200,3FCC3,_,JPLTVS  ,_,40.8
10200,3FCC9,_,USCSSN  ,_,30.0
10200,3FCD9,_,USCS S  ,_,43.0
10200,3FCE9,_,HKCS S  ,_,-37.0
10200,3FCK9,_,JPBCVS  ,_,39.7
10200,3FCM4,_,JPBCVS  ,_,26.5
10200,3FCW6,_,JPBCVS  ,_,34.1
10200,3FCX7,_,HKCS S  ,_,-37.0
10200,3FCX9,_,JPGCVS  ,_,32.9
10200,3FDE9,_,JPRRVS  ,_,32.0
10200,3FDK8,_,JPGC S  ,_,30.6
10200,3FDM9,_,JPBCVS  ,_,36.0
10200,3FDV9,_,JPLTVS  ,_,32.0
10200,3FDX2,_,JPBC S  ,_,43.0
10200,3FEA8,_,JPBCVS  ,_,29.7
